Number of Points,Maximum Flex TSP,Average Flex TSP,Minimum Flex TSP,Full TSPs
2,0.0,0.0,0.0,173.1944635448101
3,131.77338709837946,95.26458115363657,75.21172132366172,142.89687173045485
4,144.01689195673475,117.29479377156491,62.15400365517488,144.65456537883517
5,179.29542597717733,150.2238597280368,86.78922506078507,179.29832250532465
6,248.6727834872052,232.36638399109992,206.47309424203172,249.4720326397857
7,312.43086179188253,292.49177647755715,271.385581020202,313.7316334020992
8,257.3375518845109,246.85104425934483,207.17777234484433,258.06799325294264
9,306.55136850131015,288.8160864307139,246.84429227623534,306.9140173723715
10,318.1096768439574,307.0731539578465,277.31397483175465,318.3837892229098
11,246.70319553807437,239.49150989968464,220.94490716768226,246.95326657357552
12,362.53024160550206,352.15748143837646,317.03978271526995,362.73996126695164
13,331.2850961449682,319.4039890001126,274.27942769757874,331.3449130703424
14,311.2934616537334,301.50597794761177,268.84882602431946,311.3302502903333
